Username,Comment,vader_sentiment
-,"Download the RealLife App where you can SPEAK and Live Your English in Real Life!
https://reallifeglobal.com/app/?utm_source=youtube&utm_medium=comment&utm_campaign=elonmusk",1
@JaeseB,One of the best lessons on YouTube. You must continue this work.,1
@johnwestlizaire7623,"Thank you so much Thiago, Ethan, and others  for bringing to us this beautiful part of Joe Rogan's podcast",1
@dawrantlepov6974,Hi guys. I got B2 level certificate 2 days ago i just kept watching your channel for improving listening and speaking skills i just wanna say thanks.Great channel Just gotta love this channel,1
@musssryn1059,"Terimakasih telah memberikan penjelasan yang lebih baik, untuk bisa lebih memperbanyak kosakata dalam pengucapan menggunakan bahasa inggris. ",1
@computerveis6388,"Create a whole playlist for interviews and podcasts like this one. they are awesome for learning because they have obvious, lovely and native talks. they maybe are better than movies if you ask me.",1
@roohital1074,"I thoroughly enjoyed this lesson, having continues smile on my face. 
thank u.",1
@johanmunoz11,"I love the way they teach the language since they do it in a fun and very entertaining way. 
I would love for you to make more podcast videos like the one from Christian Williamson and Huberman Labs.",1
@trueleo32,These are the best lessons  for listening practice you can find since you achieved an intermediate level. Thanks a lot for helping us to learn English,1
@line3238,"Thank you so much for your work. I've been subscribed to you for a few years, and every time I see one of your videos, I always learn new stuff ! I was wondering if maybe you could do a lesson about the Vampire Diaries (I think it's a good series and it has tons of vocabulary) ? It's just a suggestion.",1
@belarustomma,"Jeez, this video just unbelievable! Many new words, especially I remember one of the best word in the planet in my humble opinion, this is derogatory) After example on movie about Rocky, also is my one of favorite movie, I remember this word long time) I wanna would in next video about MMA FIGHTER INTERVIEW) For example may analytics Sean Strickland, Khabib Nurmagomedov or Israel Adesanya, I guess fighters pronunciation help more people learn English faster) Thanks a lot for another great lesson",1
@joseangelpelaezsuarez5584,Eres una máquina !! si nos ponen estos videos en la escuela aprendes mas que con 16 años de educación,1
@namongoyeo225,Thanks so much. I learned new words today. The way you teach English is just amazing ,1
@ChrisJordan13,"As a coach in the game of basketball, i want more English lessons from interviews with great players or coaches! Thank you very much for your help!",1
@MindTreeNexus,Thanks for bringing this beautiful episode to teach us new things in an advanced and easy way ,1
@user-dd5ux6zc3v,Thank you so much for your work! I'd like to suggest analyzing The Rookie TV Series.,1
@Felipelopesa,Thiago Thanks for the lesson today. You Rock.,1
@humayounkhan2532,"In this video, I learnt a new word ""Pejorative which means Derogatory"".",1
@knowledgehub1474,"It was a good one. I added many new words into my dictionary such as:
pejorative, arise, allocate ,compelling, along those lines. 
Thanks for helping out with my english.",1
@bajhangigammer6012,"firstly i would like to thank's for this vidoe  i am form nepal  
I want to improve my english with the help of such type of series or vidoes.",1
@Jatinsingh250,"Seriously, your videos come in immensely handy for me to learn more,even your explanation is so good in which you briefly describe every single thing all in all this video is so good,if you ask me",1
@baraaa.mohammedalawadi6924,"Opera , Steve harvey 
  thank you for that great lesson",1
@givanpontes,congratulations for the channel!!! The whole content and everything are just awesome...Thanks from Brazil!,1
@user-uv7su4dv4e,"""Concussion""not only  a amazing movie, but also was a real food for thought film, I also learn many American slang from this film ,and inspiration stories, which highly recommend to see",1
@engrumarnsar,"Bundle of thanks dear. It is my first lesson and I directly subscribed your channel that I do less.....hahah. I wish, I could find your channel before, but I found it now that is pleasure to me. I will watch your lectures as much as I can. Thanks for your time.",1
@fhfryr2331,"I've been watching ur well-explained videos since the last year, as u're going further to the next level. I'd love to appreciate ur efforts guys for creating these lessons so that we learners would speak effortlessly 
.",1
@aldakhill.7274,Brilliant conversation,1
@David_Dreamer,Worth it ,1
@reemabdella4443,It would be better if you make podcasts like this in a playlist,1
@S9ELTC,"Excellent teaching method! I 
️ it.",1
@pavithranpopz1233,In This video I have learnt more thing from my past mistake ...which I have pronounced wrong word...Now I'm confidently able to Listening and pronounce ..this is a great video for who are not able to learn English they will listen  how to speak at a time and how to pronounced a word ..,1
@fabri7521,this lesson is perfect to improve my english thank you very much,1
@OT7-ARMY67,This is my first lesson and I enjoy it Thanks for the lesson,1
